,HospitalName,HospitalPrice_70450,ZipCode
26,John Muir Medical Center - Walnut Creek Campus,1292.25,94598
25,Santa Rosa Memorial Hospital,1294,95405
25,Petaluma Valley Hospital,1282,94954
26,Kaiser Foundation Hospital - Vacaville,2500,95688
26,Menifee Valley Medical Center,2045.75,92585
26,Delano Regional Medical Center,1275.5,93215
26,St Johns Pleasant Valley Hospital,3039,93010
32186,Los Robles Medical Center,,91360
26,Kaiser Foundation Hospital - Sacramento,2500,95825
26,Kaiser Foundation Hospital - San Rafael,2500,94903
1009,Los Angeles Community Hospital,,90023
981,Kaiser Foundation Hospital - Panorama City,,91402
26,Childrens Hospital & Research Center at Oakland,4004,94618
11889,Bakersfield Memorial Hospital,,93301
16822,Kindred Hospital - Brea,1748.84,92821
22684,Kindred Hospital - Westminster,,92683
26,Temecula Valley Hospital,3863,92592
30,Tri-City Medical Center,3018,92056
25,Kaiser Foundation Hospital - Riverside,,92505
25,USC-Kenneth Norris Cancer Hospital,1852.97,90033
26,UCSF Medical Center,2917,94143
26,Kaiser Foundation Hospital - Manteca-Modesto,2500,95356
26,Doctors Medical Center - Modesto,9324.93,95350
26,Ballard Rehabilitation Hospital,1952.75,92411
26,St Louise Regional Hospital,696,95020
