,HospitalDirectory,HospitalPrice
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Fresno,2500
26,/Users/ryanripper/Downloads/2019/Sharp Memorial Hospital,2490
23,/Users/ryanripper/Downloads/2019/Valleycare Medical Center,2865
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Roseville,2500
25,/Users/ryanripper/Downloads/2019/BHC Sierra Vista Hospital,
17520,/Users/ryanripper/Downloads/2019/Kindred Hospital - San Diego,3615.15
8105,/Users/ryanripper/Downloads/2019/Kindred Hospital - San Diego,3615.15
26,/Users/ryanripper/Downloads/2019/Loma Linda University Medical Center - Murrieta,2808
25,/Users/ryanripper/Downloads/2019/Garfield Medical Center,6821
26,/Users/ryanripper/Downloads/2019/Good Samaritan Hospital - Los Angeles,4500
25,/Users/ryanripper/Downloads/2019/Redwood Memorial Hospital,1646
