,HospitalName,HospitalPrice_70450,ZipCode,MedIncome,MeanIncome
171,Santa Barbara Cottage Hospital,1873.84,93105,94556,131497
172,Memorial Hospital - Los Banos,2674.0,93635,62526,79412
173,Palmdale Regional Medical Center,4226.0,93551,93055,110689
174,Kaiser Foundation Hospital - San Leandro,2500.0,94577,78444,102598
175,John Muir Behavioral Health,,94520,60652,77753
176,Washington Hospital - Fremont,2142.52,94538,112473,133080
177,Sherman Oaks Hospital,1572.0,91403,104802,152702
178,Glendale Memorial Hospital,,91204,49122,69009
179,Mark Twain Medical Center,,95249,39052,62003
180,UCSD Medical Center,2478.0,92037,109194,191008
181,Good Samaritan Hospital - San Jose,11063.0,95124,155550,184769
182,Kaiser Foundation Hospital - West L.A,,90034,75714,98799
183,San Gabriel Valley Medical Center,3520.0,91776,58658,76063
184,Pacifica Hospital of the Valley,915.0,91352,57145,75344
185,St Vincent Medical Center,3877.0,90057,37700,48449
186,Sutter Coast Hospital,2674.0,95531,44894,62844
187,Kaiser Foundation Hospital - Moreno Valley,,92555,87338,99417
188,College Hospital - Costa Mesa,,92627,79790,105353
189,Palomar Health Downtown Campus,,92025,58273,83601
190,Laguna Honda Hospital,,94116,116089,163000
191,Greater El Monte Community Hospital,3057.0,91733,50691,63393
192,Chino Valley Medical Center,2947.0,91710,81892,98145
193,San Antonio Regional Hospital,5781.0,91786,61898,74702
194,Adventist Health Sonora - Greenley,4039.0,95370,57513,81646
195,Kaiser Foundation Hospital - Anaheim,,92806,68973,86479
196,Sequoia Hospital,4013.0,94062,178480,261807
197,Hi Desert Medical Center,4388.77,92252,38333,54890
198,Valley Childrens Hospital,,93636,83977,101693
199,Ronald Reagan UCLA Medical Center,2500.0,90095,-,-
200,Paradise Valley Hospital,2163.0,91950,46708,63557
201,Whittier Hospital Medical Center,5420.0,90605,78297,96664
202,Banner Lassen Medical Center,1224.0,96130,56949,72415
203,Monrovia Memorial Hospital,,91016,77622,99260
204,Torrance Memorial Medical Center,3816.0,90505,99764,126777
205,Barton Memorial Hospital,4014.59,96150,57396,82312
206,Northridge Hospital Medical Center,6838.0,91325,71400,99168
207,St Agnes Medical Center,1426.0,93720,89671,109456
208,Kaweah Delta District Hospital,1739.67,93291,61599,85165
209,Community & Mission Hospital at Huntington Park,4240.47,90255,44962,58611
210,Kaiser Foundation Hospital - Los Angeles,,90027,66947,103501
