,name,beds,city,website
64,California Hospital Medical Center,318,Los Angeles,https://www.ahd.com/free_profile/050149/California_Hospital_Medical_Center/Los_Angeles/California/
65,California Medical Facility - Psychiatric Inpatient Program,0,Vacaville,https://www.ahd.com/free_profile/I42076/California_Medical_Facility_-_Psychiatric_Inpatient_Program/Vacaville/California/
66,California Mens Colony Hospital,0,San Luis Obispo,https://www.ahd.com/free_profile/I07817/California_Mens_Colony_Hospital/San_Luis_Obispo/California/
67,California Rehabilitation Institute,138,Los Angeles,https://www.ahd.com/free_profile/053039/California_Rehabilitation_Institute/Los_Angeles/California/
68,Canyon Ridge Hospital,157,Chino,https://www.ahd.com/free_profile/054111/Canyon_Ridge_Hospital/Chino/California/
69,Casa Colina Hospital and Centers for Healthcare,99,Pomona,https://www.ahd.com/free_profile/050782/Casa_Colina_Hospital_and_Centers_for_Healthcare/Pomona/California/
70,Catalina Island Medical Center,12,Avalon,https://www.ahd.com/free_profile/051307/Catalina_Island_Medical_Center/Avalon/California/
71,Cedars-Sinai Medical Center,883,Los Angeles,https://www.ahd.com/free_profile/050625/Cedars-Sinai_Medical_Center/Los_Angeles/California/
72,Center for Specialized Surgery of Santa Barbara,0,Santa Barbara,https://www.ahd.com/free_profile/050790/Center_for_Specialized_Surgery_of_Santa_Barbara/Santa_Barbara/California/
73,Centinela Hospital Medical Center,345,Inglewood,https://www.ahd.com/free_profile/050739/Centinela_Hospital_Medical_Center/Inglewood/California/
74,Central Valley Specialty Hospital,100,Modesto,https://www.ahd.com/free_profile/052055/Central_Valley_Specialty_Hospital/Modesto/California/
75,CHA Hollywood Presbyterian Medical Center,434,Los Angeles,https://www.ahd.com/free_profile/050063/CHA_Hollywood_Presbyterian_Medical_Center/Los_Angeles/California/
76,Chapman Global Medical Center,114,Orange,https://www.ahd.com/free_profile/050745/Chapman_Global_Medical_Center/Orange/California/
77,Children's Hospital Los Angeles,379,Los Angeles,https://www.ahd.com/free_profile/053302/Children%27s_Hospital_Los_Angeles/Los_Angeles/California/
